S.NO.,TEST CODE,INVESTIGETATION,SAMPLE TYPE,TEMPERATURE,SPECIAL INSTRUCTION FOR SAMPLE COLLECTION,METHOD,CUT OFF TIME,REPORTED ON,NET,MRP,NET % OF MRP
236,C293,CATECHOLAMINES - 24 HRS. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do Not Freeze,ELISA/HPLC,4.30 PM,3rd Working Day,2850,4850,58.8%
237,C310,CATECHOLAMINES - PLASMA,2ml.(1ml. Minimum)EDTA Plasma/Serum,Refrigerated(2-8°C),,ELISA/HPLC,4.30 PM,3rd Working Day,2850,4850,58.8%
238,H196,CD - 57,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
239,H067,CD 1A (PAN T - CELL MARKER),"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
240,H019,CD3 ABSOLUTE COUNT,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Flow Cytometry,4.30 PM,Next day Evening Except Sunday,850,1650,51.5%
241,H020,CD3/CD4/CD8,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry-BD FACSC Calibur,4.30 PM,Next day Evening Except Sunday,950,1850,51.4%
242,H021,CD4 ABSOLUTE COUNT,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),,Flow Cytometry,4.30 PM,Next day Evening Except Sunday,850,1650,51.5%
243,H548,CD4 ABSOLUTE COUNT(CD4),5ml (3ml. Minimum) EDTA plasma.,Refrigerated(2-8°C),,Flow Cytometry,4.30 PM,Next day Evening Except Sunday,800,1500,53.3%
244,C057,CEA (CARCINO EMBRYONIC ANTIGEN) - CANCER MARKERS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Electrochemilu minescence,5.30 PM,Same Day,280,850,32.9%
245,S102,CENTROMERE ANTIBODY IGG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
246,C058,CERULOPLASMIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunoturbidi metry,5.30 PM,Same Day,575,1200,47.9%
247,P201,CHIKUNGUNIYA - PCR - QUALITATIVE,"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum","FROZEN  (-20°C) in
dry ice.",Prices are applicable as per Gov. Norms,Real Time PCR,4.30 PM,Next day Evening Except Sunday,2450,3850,63.6%
248,S113,CHIKUNGUNYA IGM ANTIBODY - INFECTIOUS DISEASES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Prices are applicable as per Gov. Norms,Lateral Flow Chromatograp hy,5.30 PM,Next day Evening Except Sunday,280,700,40.0%
249,S247,CHIKUNGUNYA IGM ANTIBODY - INFECTIOUS DISEASES by ELISA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Prices are applicable as per Gov. Norms,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,300,800,37.5%
250,S108,CHLAMYDIA IGA ANTIBODIES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1350,2450,55.1%
251,S141,CHLAMYDIA IGM ANTIBODIES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1350,2450,55.1%
252,S143,"CHLAMYDIA, IgG ANTIBODY",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1350,2070,65.2%
253,C059,CHLORIDE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Ion Selective Electrode,5.30 PM,Same Day,60,180,33.3%
254,C060,CHLORIDE - FLUID,"For Body Fluid: 5 ml. (2 ml. Minimum) Miscellaneous Body Fluids i.e. (Ascitic,
Pleural   Peritoneal  Pericardial",Refrigerated(2-8°C),Do Not Freeze,ICT,5.30 PM,Same Day,115,250,46.0%
255,C061,CHLORIDE - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,ISE DIRECT,5.30 PM,Same Day,60,150,40.0%
256,C063,CHOLESTEROL - HDL,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Spectrophotom etry,5.30 PM,Same Day,90,200,45.0%
257,C062,CHOLESTEROL -TOTAL,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Spectrophotom etry,5.30 PM,Same Day,60,150,40.0%
258,C247,CHOLESTEROL/HDL RATIO,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,175,350,50.0%
259,C064,CHOLESTEROL-LDL,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Spectrophotom etry,5.30 PM,Same Day,90,200,45.0%
260,C246,CHOLESTEROL-LDL/ HDL RATIO,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Calculated,5.30 PM,Same Day,175,350,50.0%
261,C1315,CHOLESTEROL-NON HDL,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",SPECTROPHOT OMETRY,4.30 PM,Same Day,175,350,50.0%
262,C1259,CHOLESTROL - URINE,"15 ml.(10.0 ml. minimum)
aliquot of Morning’s Midstream/Random Urine in a sterile, leak - proof, screw",Refrigerated(2-8°C),Do Not Freeze,Spectrophotom etry,5.30 PM,Same Day,115,250,46.0%
263,C065,CHOLINESTERASE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Specify age and sex on test requisition form.,Spectrophotom etry,4.30 PM,3rd Working Day,300,650,46.2%
264,C066,CHROMIUM,2ml.(1ml. Minimum)WB-EDTA / WB-HEPARIN,Refrigerated(2-8°C),"Use powderless
glovesduringphlebotomy. Patientshould refrain frommineral supplements 3",ICPMS/AAS,4.30 PM,3rd Working Day,1050,2050,51.2%
265,C067,CHROMIUM - URINE,"15 ml.(10.0 ml. minimum)
aliquot of Morning’s Midstream/Random Urine in a sterile, leak - proof, screw",Refrigerated(2-8°C),Do Not Freeze,ICPMS/AAS,4.30 PM,3rd Working Day,1050,2050,51.2%
266,C309,CHROMOGRANIN A,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,2nd Working Day,3850,6500,59.2%
267,R001,CHROMOSOME ANALYSIS - BLOOD,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),,Karyotyping,4.30 PM,12th Working Day,1800,2850,63.2%
268,R002,CHROMOSOME ANALYSIS - BONE MARROW,Bone Marrow,Refrigerated(2-8°C),,Karyotyping,4.30 PM,12th Working Day,2050,3250,63.1%
269,R197,CHROMOSOME ANALYSIS BY AMNOTIC FLUID,2ml. (1 ml. Minimum) FLUID.,Refrigerated(2-8°C),,Karyotyping,4.30 PM,12th Working Day,2050,3250,63.1%
270,R003,"CHROMOSOME ANALYSIS, PRODUCTS OF CONCEPTION(POC) BY NGS","2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),,Next Generation Sequencing,4.30 PM,21th Working Day,4850,7250,66.9%
271,S081,"CIRCULATING IMMUNOCOMPLEX (CIC)-
IgM",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,3rd Working Day,1150,2450,46.9%
272,C320,CITRATE 24 Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do not use preservatives,Spectrophotom etry,4.30 PM,Next day Evening Except Sunday,650,1250,52.0%
273,C331,CK - MM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,,Same Day,5850,8550,68.4%
274,H082,CLL SEGREGATION MARKER : CD 23,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,Next day Evening Except Sunday,1050,1550,67.7%
275,H101,CLONAL RESTRICTION / B - CELL MATURITY MARKER : KAPPA LIGHT CHAIN,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
276,H102,CLONAL RESTRICTION / B - CELL MATURITY MARKER : LAMBDA LIGHT CHAIN,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
277,H100,CLONAL RESTRICTION / B - CELL MATURITY MARKER : SURFACE IGG,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
278,H071,CLONAL RESTRICTION / B - CELL MATURITY MARKER : SURFACE IGM,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
279,H112,CLONAL RESTRICTION / PRE B - CELL ALL PROGNOSTIC MARKER : CYTOPLASMIC IGM,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
280,S238,COELIAC FUSION TTG+DGP,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,850,1850,45.9%
281,H023,COMPLETE BLOOD COUNT (CBC),"3 ml.(2 ml. Minimum) Whole blood in 1
EDTA (Lavender Top) tube and 2 unstained peripheral blood smears, air dried & sent in a slide mailer",Refrigerated(2-8°C),"Does not include ESR.
Includes - Haemoglobin, PCV, RBC Count, Total Leukocyte Count, MCV,",Coulter Principle (Impedance),5.30 PM,Same Day,115,300,38.3%
282,H116,"COMPLETE BLOOD COUNT (CBC) WITH
P/S","3 ml.(2 ml. Minimum) Whole blood in 1
EDTA (Lavender Top) tube and 2 unstained peripheral blood smears, air dried & sent in a slide mailer",Refrigerated(2-8°C),,Coulter Principle (Impedance),5.30 PM,Same Day,130,350,37.1%
283,H024,COOMB S TEST DIRECT,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Gel Microtyping,5.30 PM,Same Day,175,550,31.8%
284,H025,COOMB S TEST INDIRECT,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Gel Microtyping,5.30 PM,Same Day,175,550,31.8%
285,C072,COPPER - 24Hrs Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do Not Freeze,"GraphiteFurnac eAtomicAbsorp tionSpectromet
ry(GFAAS)",4.30 PM,Next day Evening Except Sunday,550,1450,37.9%
286,C071,COPPER - SERUM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"GraphiteFurnac eAtomicAbsorp tionSpectromet
ry(GFAAS)",4.30 PM,Next day Evening Except Sunday,550,1450,37.9%
287,C074,CORTISOL  (7 TO 9 AM),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,250,600,41.7%
288,C1320,CORTISOL - 24 Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do Not Freeze,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,280,650,43.1%
289,C075,CORTISOL - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,280,650,43.1%
290,C073,CORTISOL ( 3 TO 5 PM),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,250,600,41.7%
291,C294,CORTISOL- SPOT URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,250,600,41.7%
292,C194,"CORTISOL/CREATININE RATIO - 24Hrs
Urine","20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do Not Freeze,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,400,750,53.3%
293,C076,C-PEPTIDE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,450,1250,36.0%
294,C078,CREATINE KINASE MB (CK-MB),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc enceMicroparti cle
Immunoassay(",5.30 PM,Same Day,175,400,43.8%
295,C079,CREATININE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Jaffe Kinetic/Spectro photometry,5.30 PM,Same Day,60,150,40.0%
296,C080,CREATININE - 24Hr. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do Not Freeze,Modified jaffe Kinetic/Spectro photometry,5.30 PM,Same Day,115,250,46.0%
297,C082,CREATININE KINASE (CPK),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"IFCC, UV
Kinetic/Spectro photometry",5.30 PM,Same Day,130,350,37.1%
298,C1294,CREATININE URINE SPOT,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Spectrophotom etry,5.30 PM,Same Day,115,250,46.0%
299,C081,CREATNINE CLEARANCE TEST,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Modified jaffe Kinetic/Spectro photometry,5.30 PM,Same Day,175,450,38.9%
300,C077,CRP QUALITATIVE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunoturbidi metry,5.30 PM,Same Day,175,450,38.9%
301,C1288,CRP QUANTITATIVE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Turbidimetric Immunoassay,5.30 PM,Same Day,230,550,41.8%
302,C287,CRYOGLOBULINS SCREENING(QUALITATIVE),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)/Precipita",4.30 PM,Next day Evening Except Sunday,750,1650,45.5%
303,S027,CRYPTOCOCCUS ANTIGEN,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),,Agglutination,4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
304,H065,CSF FLUID CELL COUNT,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),,Microscopy,5.30 PM,Same Day,115,250,46.0%
305,M051,CULTURE -  BODY FLUID (BD BACTEC),2ml. (1 ml. Minimum) FLUID.,AMBIENT (18-25° C),Send Sample In Sterile Container,MGIT,5.30 PM,5th Working Day,490,800,61.3%
306,M024,CULTURE -  THROAT SWAB (AEROBIC),Endo/Tissue/Swab/CSF,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,690,33.3%
307,M013,CULTURE -  URINE (AEROBIC 12 DRUGS),"10 ml.(5 ml. Minimum)Aliquot of Morning’s Ist voided Midstream Urine in a sterile,
screw capped container",Refrigerated(2-8°C),"Do Not Freeze,Send Sample In Sterile Container",Sensitivity,5.30 PM,3rd Working Day,175,400,43.8%
308,M043,CULTURE - AEROBIC (OT SWAB),Swab,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,550,41.8%
309,M021,CULTURE - AEROBIC (PUS),Pus,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,550,41.8%
310,M014,CULTURE - BLOOD (AEROBIC),6ml.(5ml Minimum) blood in green top Heparin veil,AMBIENT (18-25° C),Send Adequate Blood In Blood Culture Bottle.,Conventional culture and sensitivity,5.30 PM,7th Working Day,400,750,53.3%
311,M008,CULTURE - BLOOD (ANAEROBIC),6ml.(5ml Minimum) blood in green top Heparin veil,AMBIENT (18-25° C),Send Adequate Blood In Anaerobic Blood Culture Bottle,Conventional Anaerobic Culture,5.30 PM,7th Working Day,550,850,64.7%
312,M042,CULTURE - BLOOD  (BD BACTEC),6ml.(5ml Minimum) blood in green top Heparin veil,AMBIENT (18-25° C),Send Adequate Blood In Blood Culture Bottle.,MGIT,5.30 PM,5th Working Day,490,800,61.3%
313,M015,CULTURE - BODY FLUIDS (AEROBIC),2ml. (1 ml. Minimum) FLUID.,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,550,41.8%
314,M012,CULTURE - CERVICAL SWAB (AEROBIC),Swab,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,550,41.8%
315,M016,CULTURE - CSF (AEROBIC),"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,550,41.8%
316,M017,CULTURE - EAR SWAB (AEROBIC),Swab,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,550,41.8%
317,M018,CULTURE-  EYE SWAB (AEROBIC),Swab,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,550,41.8%
318,M019,CULTURE - MISCELLANEOUS (AEROBIC),Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,550,41.8%
319,M020,CULTURE - NASAL SWAB (AEROBIC),Swab,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,550,41.8%
320,M022,CULTURE - SEMEN (AEROBIC),"2 ml. (1 ml. minimum) Semen in a sterile, leak - proof, container. screw capped,
plastic cont",AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,550,41.8%
321,M023,CULTURE - SPUTUM (AEROBIC),"2 ml. (1 ml. Minimum) sputum sample  in a
sterile, leak - proof screw capped, plastic container.",AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,550,41.8%
322,M026,CULTURE - STOOL (AEROBIC),"5ml (3ml. Minimum) Stool in a leak-proof, plastic, screw capped container. Do not use match box or absorbant material",AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,690,33.3%
323,M046,CULTURE - SWAB (AEROBIC),Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,230,100.0%
324,M190,CULTURE - SWAB (ANAEROBIC),Swab,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,7th Working Day,550,850,64.7%
325,M038,CULTURE - URINE (AEROBIC 22 DRUGS),"10 ml.(5 ml. Minimum)Aliquot of Morning’s Ist voided Midstream Urine in a sterile,
screw capped container",Refrigerated(2-8°C),"Do Not Freeze,Send Sample In Sterile Container",Sensitivity,5.30 PM,3rd Working Day,250,550,45.5%
326,M025,CULTURE - VAGINAL SWAB (AEROBIC),Vaginal Swab,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,230,550,41.8%
327,M009,CULTURE- PUS/BODY FLUIDS(ANAREOBIC),2ml. (1 ml. Minimum) FLUID.,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,7th Working Day,550,850,64.7%
328,M047,CULTURE -RO WATER,3 ml. (2ml. Minimum) RO water in tightly capped container,Refrigerated(2-8°C),Send Sample In Sterile Container,Conventional culture,5.30 PM,3rd Working Day,450,850,52.9%
329,M045,CULTURE -SPUTUM (ANAEROBIC),"2 ml. (1 ml. Minimum) sputum sample  in a
sterile, leak - proof screw capped, plastic container.",AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,7th Working Day,550,850,64.7%
330,M007,CULTURE- STOOL (ANAEROBIC),"5ml (3ml. Minimum) Stool in a leak-proof, plastic, screw capped container. Do not use match box or absorbant material",AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,7th Working Day,550,850,64.7%
331,M044,CULTURE URINE-QUALITATIVE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Send Sample In Sterile Container,Conventional culture and sensitivity,5.30 PM,3rd Working Day,115,350,32.9%
332,C1251,CYCLOSPORINE CO LEVEL,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,"Chemiluminesc enceMicroparti cle
Immunoassay(",4.30 PM,2nd Working Day,2250,3250,69.2%
333,C244,CYFRA 21.1 (LUNG CANCER) - CANCER MARKERS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)/ELISA",4.30 PM,2nd Working Day,2150,4550,47.3%
334,C243,CYSTATIN C,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Do Not Freeze,Send Sample In Sterile Container",Spectrophotom etry,4.30 PM,3rd Working Day,1050,2050,51.2%
335,A004,CYTOLOGICAL EVALUATION-MALIGNANT CELLS,FLUID,AMBIENT (18-25° C),Brief clinical history mandatory,Microscopy,5.30 PM,Same Day,230,550,41.8%
336,A001,CYTOLOGY -FLUIDS,2ml. (1 ml. Minimum) FLUID.,AMBIENT (18-25° C),Brief clinical history mandatory,Microscopy,5.30 PM,Same Day,230,550,41.8%
337,A003,CYTOLOGY -PAP,Smear,Refrigerated(2-8°C),Brief clinical history mandatory,Light Microscopy,4.30 PM,Next day Evening Except Sunday,200,550,36.4%
338,P018,CYTOMEGALOVIRUS DNA PCR - QUALITATIVE,Any Sample,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,Next day Evening Except Sunday,2450,3850,63.6%
339,P202,CYTOMEGALOVIRUS DNA PCR QUANTITATIVE (VIRAL LOAD),"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,Next day Evening Except Sunday,2850,4850,58.8%
340,S087,CYTOMEGALOVIRUS IGG - CSF,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,230,750,30.7%
341,S088,CYTOMEGALOVIRUS IGM - CSF,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,230,750,30.7%
342,S028,"CYTOMEGALOVIRUS, IGG ANTIBODY",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,115,550,20.9%
343,S029,"CYTOMEGALOVIRUS, IGM ANTIBODY",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,115,550,20.9%
344,C084,D DIMER,3 ml. Whole blood in 1 Sodium Citrate (Light Blue Top) tube.,Refrigerated(2-8°C),,Immunoturbidi metry,5.30  PM,Same Day,650,1500,43.3%
345,C1285,D-DIMER,3 ml. Whole blood in 1 Sodium Citrate (Light Blue Top) tube.,Refrigerated(2-8°C),,Immunochrom atography,5.30 PM,Same Day,525,1250,42.0%
346,C085,DEHYDROEPIANDROSTERONE (DHEA),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1250,2850,43.9%
347,C086,DEHYDROEPIANDROSTERONE SULPHATE(DHEA-S),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Electrochemilu minescence,5.30  PM,Same Day,400,1050,38.1%
348,P025,DENGUE - RNA PCR - QUALITATIVE,"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum","FROZEN  (-20°C) in
dry ice.",Prices are applicable as per Gov. Norms,Real Time PCR,4.30 PM,Next day Evening Except Sunday,2450,3850,63.6%
349,S128,DENGUE IgG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Prices are applicable as per Gov. Norms,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,400,950,42.1%
350,S030,DENGUE IgG & IgM ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Prices are applicable as per Gov. Norms,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,700,1650,42.4%
351,S233,DENGUE IgG (Qualitative),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Prices are applicable as per Gov. Norms,Immuno chromatograph y,5.30 PM,Same Day,350,850,41.2%
352,S127,DENGUE IgM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Prices are applicable as per Gov. Norms,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,400,950,42.1%
353,S234,DENGUE IgM (Qualitative),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Prices are applicable as per Gov. Norms,Immuno chromatograph y,5.30 PM,Same Day,350,850,41.2%
354,S114,DENGUE NS1 ANTIGEN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Prices are applicable as per Gov. Norms,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,400,950,42.1%
